p_value,timing
1.000000000000000000e+00,2.833393335342407227e+00
1.000000000000000000e+00,1.179811954498291016e-01
1.000000000000000000e+00,1.241465306282043457e+01
8.684120178222656250e-01,1.178836822509765625e-01
5.000000000000000000e-01,1.289715766906738281e-01
5.000000000000000000e-01,1.281585693359375000e-01
6.990300969903009420e-01,2.000070095062255859e+00
6.961303869613039152e-01,1.253113746643066406e-01
5.727427257274272376e-01,1.248830866813659668e+01
5.880985260009765625e-01,1.216979026794433594e-01
7.252124038520315619e-01,1.311686038970947266e-01
7.268269544370437041e-01,1.294379234313964844e-01
1.779822017798220191e-02,1.999877929687500000e+00
1.579842015798420263e-02,1.182305812835693359e-01
2.209779022097790174e-02,1.182672762870788574e+01
5.908966064453125000e-03,1.077082157135009766e-01
3.114813914458275032e-02,1.156957149505615234e-01
1.612192873527190998e-02,1.162350177764892578e-01
1.000000000000000000e+00,1.830771684646606445e+00
1.000000000000000000e+00,1.073963642120361328e-01
1.000000000000000000e+00,1.122981834411621094e+01
8.684120178222656250e-01,1.021652221679687500e-01
5.000000000000000000e-01,1.127026081085205078e-01
5.000000000000000000e-01,1.126642227172851562e-01
1.000000000000000000e+00,1.739747762680053711e+00
1.000000000000000000e+00,9.940814971923828125e-02
1.000000000000000000e+00,1.062957119941711426e+01
8.684120178222656250e-01,1.046562194824218750e-01
5.000000000000000000e-01,1.087889671325683594e-01
5.000000000000000000e-01,1.096496582031250000e-01
1.000000000000000000e+00,1.732520818710327148e+00
1.000000000000000000e+00,1.013641357421875000e-01
1.000000000000000000e+00,1.081169390678405762e+01
8.684120178222656250e-01,1.015446186065673828e-01
5.000000000000000000e-01,1.095249652862548828e-01
5.000000000000000000e-01,1.104953289031982422e-01
1.000000000000000000e+00,1.791193246841430664e+00
1.000000000000000000e+00,1.099784374237060547e-01
1.000000000000000000e+00,1.192905926704406738e+01
8.684120178222656250e-01,1.216342449188232422e-01
5.000000000000000000e-01,1.371130943298339844e-01
5.000000000000000000e-01,1.317696571350097656e-01
1.000000000000000000e+00,2.030582427978515625e+00
1.000000000000000000e+00,1.315093040466308594e-01
1.000000000000000000e+00,1.272894263267517090e+01
8.684120178222656250e-01,1.235063076019287109e-01
5.000000000000000000e-01,1.351437568664550781e-01
5.000000000000000000e-01,1.337101459503173828e-01
1.799820017998200045e-02,2.084536552429199219e+00
1.799820017998200045e-02,1.188127994537353516e-01
9.269073092690731375e-02,1.286611104011535645e+01
7.482776641845703125e-01,1.324088573455810547e-01
2.316456796536900953e-01,1.411459445953369141e-01
2.213282002737147758e-02,1.408827304840087891e-01
1.000000000000000000e+00,2.179457187652587891e+00
1.000000000000000000e+00,1.248869895935058594e-01
1.000000000000000000e+00,1.289863538742065430e+01
8.684120178222656250e-01,1.275343894958496094e-01
5.000000000000000000e-01,1.389381885528564453e-01
5.000000000000000000e-01,1.319863796234130859e-01
9.725027497250274822e-01,2.039994955062866211e+00
9.684031596840315670e-01,1.208844184875488281e-01
9.570042995700429600e-01,1.258973956108093262e+01
2.517223358154296875e-01,1.196854114532470703e-01
9.468968756246478602e-01,1.315569877624511719e-01
9.822977066226326048e-01,1.319551467895507812e-01
1.000000000000000000e+00,2.021287918090820312e+00
1.000000000000000000e+00,1.223645210266113281e-01
1.000000000000000000e+00,1.272695016860961914e+01
8.684120178222656250e-01,1.235549449920654297e-01
5.000000000000000000e-01,1.325440406799316406e-01
5.000000000000000000e-01,1.338162422180175781e-01
1.000000000000000000e+00,2.113032341003417969e+00
1.000000000000000000e+00,1.271212100982666016e-01
